PlayerID,Median_Response_Time(ms),Mean_Response_Time(ms),StdDev_Response_Time(ms)
22,1329.5,1531.3333333333333,557.8503111919628
23,1602.5,1969.4166666666667,1554.868451514517
24,2084.0,3120.4166666666665,2852.048178170569
25,1084.5,1176.7,198.12793285596499
26,1536.0,2160.7272727272725,1350.2916048697846
27,1992.0,2547.7272727272725,1687.2648334454843
28,1363.0,1704.090909090909,947.5565898188303
29,1515.0,1746.090909090909,568.047613241259
30,1308.5,1400.8,215.45239226644324
31,1479.0,1490.0,322.96718099522127
32,1461.5,1700.0833333333333,551.0305152964568
33,1550.0,1692.1818181818182,536.3804280884638
34,1617.0,2219.3,1420.3379136279116
35,1625.0,1738.1818181818182,398.84328204993454
36,1193.5,2405.9,3469.4071683790594
37,1058.5,1138.5,214.407840859942
